City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
adrar,20.5022,-10.0711,80.08,7.0,0.0,10.74,MR,1616788032.0
chokurdakh,70.6333,147.9167,-31.85,100.0,76.0,4.47,RU,1616788034.0
laguna,38.421,-121.4238,69.01,24.0,1.0,16.11,US,1616788036.0
mehamn,71.0357,27.8492,37.4,64.0,0.0,35.68,NO,1616787757.0
lleida,41.6167,0.6167,62.01,67.0,0.0,3.44,ES,1616788042.0
rikitea,-23.1203,-134.9692,79.32,71.0,2.0,19.19,PF,1616788047.0
hobyo,5.3505,48.5268,80.13,70.0,1.0,12.77,SO,1616788049.0
bayan,46.0833,127.4,46.0,83.0,99.0,15.17,CN,1616788051.0
bodmin,50.4715,-4.7243,42.8,81.0,75.0,14.97,GB,1616788054.0
busselton,-33.65,115.3333,46.99,94.0,61.0,5.7,AU,1616788056.0
butaritari,3.0707,172.7902,80.82,80.0,61.0,15.26,KI,1616788058.0
bengkulu,-3.8004,102.2655,76.68,89.0,96.0,3.96,ID,1616788060.0
jalingo,8.8833,11.3667,87.1,14.0,21.0,4.29,NG,1616788061.0
ushuaia,-54.8,-68.3,51.8,54.0,40.0,9.22,AR,1616788063.0
bagdarin,54.4333,113.6,17.94,97.0,100.0,2.91,RU,1616788065.0
cananeia,-25.0147,-47.9267,80.8,76.0,53.0,6.33,BR,1616788067.0
moranbah,-22.0016,148.0466,69.3,83.0,0.0,8.41,AU,1616788069.0
bandundu,-3.3167,17.3667,73.0,93.0,100.0,1.99,CD,1616788070.0
fonte boa,42.6796,-7.0654,51.01,69.0,100.0,4.0,ES,1616788072.0
coihaique,-45.5752,-72.0662,62.6,55.0,75.0,6.91,CL,1616787840.0
huarmey,-10.0681,-78.1522,75.42,72.0,19.0,11.05,PE,1616788079.0
nikolskoye,59.7035,30.7861,34.0,93.0,40.0,2.68,RU,1616788081.0
ventspils,57.3894,21.5606,33.8,100.0,0.0,1.14,LV,1616788082.0
tilichiki,60.4667,166.1,-12.42,97.0,37.0,5.61,RU,1616788084.0
provideniya,64.3833,-173.3,2.07,90.0,100.0,14.83,RU,1616788086.0
baykit,61.67,96.37,6.93,99.0,100.0,2.21,RU,1616788089.0
cidreira,-30.1811,-50.2056,78.28,77.0,98.0,9.93,BR,1616787967.0
salinopolis,-0.6136,-47.3561,73.92,93.0,100.0,1.05,BR,1616788093.0
hambantota,6.1241,81.1185,78.8,100.0,75.0,9.22,LK,1616788096.0
tolbazy,54.0241,55.8825,23.0,80.0,0.0,6.71,RU,1616788098.0
naryan-mar,67.6713,53.087,15.85,87.0,9.0,10.25,RU,1616788100.0
barrow,71.2906,-156.7887,-11.2,92.0,1.0,3.58,US,1616788101.0
jamestown,42.097,-79.2353,41.0,93.0,90.0,17.34,US,1616787859.0
cayenne,4.9333,-52.3333,86.0,66.0,75.0,13.8,GF,1616788105.0
buin,-33.7333,-70.75,80.01,18.0,0.0,12.66,CL,1616788107.0
sitka,57.0531,-135.33,39.2,93.0,90.0,3.44,US,1616788108.0
riyadh,24.6877,46.7219,87.8,11.0,0.0,10.36,SA,1616788110.0
ola,59.5833,151.2833,-9.62,97.0,56.0,5.21,RU,1616788112.0
vaini,-21.2,-175.2,77.0,100.0,75.0,5.75,TO,1616788114.0
aksu,41.1231,80.2644,56.89,25.0,100.0,4.09,CN,1616788116.0
srednekolymsk,67.45,153.6833,-25.26,99.0,61.0,3.53,RU,1616788119.0
hermanus,-34.4187,19.2345,63.0,78.0,0.0,12.66,ZA,1616788121.0
chillan,-36.6066,-72.1034,77.0,27.0,0.0,12.66,CL,1616788122.0
lebu,-37.6167,-73.65,59.86,64.0,0.0,18.57,CL,1616788126.0
dikson,73.5069,80.5464,-9.85,100.0,100.0,10.74,RU,1616788129.0
vaitape,-16.5167,-151.75,83.28,72.0,4.0,21.54,PF,1616788131.0
yar-sale,66.8333,70.8333,3.38,89.0,44.0,11.41,RU,1616788136.0
mackay,-21.15,149.2,71.6,88.0,1.0,4.61,AU,1616788139.0
cody,44.5263,-109.0565,37.0,64.0,90.0,6.91,US,1616788074.0
rawson,-43.3002,-65.1023,65.59,47.0,0.0,10.29,AR,1616788143.0
opuwo,-18.0607,13.84,69.73,66.0,95.0,6.8,NA,1616788144.0
kavieng,-2.5744,150.7967,81.34,77.0,100.0,8.05,PG,1616788146.0
dongsheng,39.8161,109.9776,41.72,26.0,35.0,8.46,CN,1616788148.0
hithadhoo,-0.6,73.0833,82.62,70.0,92.0,6.29,MV,1616788150.0
qaanaaq,77.484,-69.3632,-7.53,64.0,100.0,5.48,GL,1616788152.0
lompoc,34.6391,-120.4579,62.01,63.0,1.0,14.97,US,1616788153.0
killybegs,54.6333,-8.45,41.0,87.0,88.0,18.41,IE,1616788155.0
nehe,48.4833,124.8333,33.89,95.0,43.0,2.75,CN,1616788157.0
kodiak,57.79,-152.4072,33.8,51.0,1.0,16.11,US,1616788160.0
macherla,16.4833,79.4333,81.18,47.0,12.0,8.5,IN,1616788162.0
floro,61.5996,5.0328,44.6,81.0,75.0,35.68,NO,1616788164.0
gazanjyk,39.2446,55.5154,56.88,45.0,0.0,8.1,TM,1616788166.0
hasanpur,28.7167,78.2833,68.85,27.0,0.0,7.07,IN,1616788169.0
waterloo,43.4668,-80.5164,42.8,81.0,90.0,17.27,CA,1616787978.0
natal,-5.795,-35.2094,80.6,89.0,75.0,12.66,BR,1616787962.0
tasiilaq,65.6145,-37.6368,6.8,56.0,20.0,8.05,GL,1616788176.0
albany,42.6001,-73.9662,75.2,38.0,75.0,18.41,US,1616788143.0
ritchie,-29.038,24.6028,59.0,82.0,11.0,3.38,ZA,1616788179.0
avarua,-21.2078,-159.775,82.4,74.0,75.0,16.11,CK,1616788102.0
chuy,-33.6971,-53.4616,72.84,85.0,100.0,5.5,UY,1616788184.0
severnyy,50.677,36.5532,39.2,70.0,0.0,6.71,RU,1616788186.0
cananea,30.95,-110.3,59.0,28.0,0.0,7.0,MX,1616788187.0
parfino,57.9731,31.6481,32.67,97.0,87.0,2.21,RU,1616788191.0
iracoubo,5.4802,-53.2011,80.1,77.0,22.0,11.9,GF,1616788193.0
yellowknife,62.456,-114.3525,14.0,66.0,20.0,8.05,CA,1616788089.0
margate,51.3813,1.3862,44.01,83.0,100.0,1.99,GB,1616788196.0
sebrovo,50.0981,43.2976,30.99,86.0,100.0,8.88,RU,1616788198.0
mataura,-46.1927,168.8643,57.99,80.0,100.0,3.0,NZ,1616788201.0
atuona,-9.8,-139.0333,80.64,77.0,14.0,20.2,PF,1616788203.0
upernavik,72.7868,-56.1549,-25.64,86.0,10.0,6.87,GL,1616788206.0
buala,-8.145,159.5921,80.67,83.0,47.0,10.04,SB,1616788208.0
husavik,66.0449,-17.3389,19.4,79.0,90.0,17.27,IS,1616788210.0
phoenix,33.4484,-112.074,64.4,34.0,75.0,8.05,US,1616787941.0
frolovo,49.7713,43.6622,30.99,86.0,100.0,9.57,RU,1616788213.0
broome,42.2506,-75.833,59.0,55.0,90.0,18.41,US,1616788217.0
krasnogvardeyskiy,57.3793,62.3195,33.71,97.0,100.0,3.83,RU,1616788218.0
olafsvik,64.8945,-23.7142,19.76,68.0,100.0,20.58,IS,1616788220.0
kununurra,-15.7667,128.7333,77.0,61.0,74.0,3.56,AU,1616788222.0
hobart,-42.8794,147.3294,55.4,88.0,75.0,8.05,AU,1616788224.0
bredasdorp,-34.5322,20.0403,64.4,68.0,0.0,8.05,ZA,1616788225.0
ratlam,23.3167,75.0667,78.46,15.0,0.0,3.47,IN,1616788227.0
pangnirtung,66.1451,-65.7125,-14.8,70.0,20.0,20.71,CA,1616788229.0
pokrovsk,48.282,37.1758,33.49,88.0,99.0,7.16,UA,1616788232.0
longyearbyen,78.2186,15.6401,19.4,68.0,40.0,18.41,SJ,1616788234.0
inhambane,-23.865,35.3833,75.15,83.0,12.0,9.44,MZ,1616787956.0
harper,4.375,-7.7169,78.96,87.0,0.0,6.93,LR,1616788241.0
severo-kurilsk,50.6789,156.125,26.74,92.0,100.0,17.76,RU,1616788242.0
acapulco,16.8634,-99.8901,86.0,58.0,20.0,10.36,MX,1616788105.0
nhulunbuy,-12.2333,136.7667,78.8,94.0,75.0,4.83,AU,1616788251.0
beloha,-25.1667,45.05,73.56,83.0,1.0,3.36,MG,1616788252.0
elko,41.0002,-115.5012,43.0,42.0,90.0,9.01,US,1616788254.0
hollola,61.05,25.4333,30.99,96.0,9.0,3.0,FI,1616788258.0
akyab,20.15,92.9,77.88,46.0,39.0,6.29,MM,1616788259.0
apatzingan,19.0833,-102.35,75.2,35.0,75.0,9.22,MX,1616788261.0
geraldton,-28.7667,114.6,62.6,77.0,7.0,11.5,AU,1616788263.0
faanui,-16.4833,-151.75,83.26,72.0,4.0,21.59,PF,1616788265.0
castanos,26.7833,-101.4167,86.29,10.0,3.0,7.23,MX,1616788268.0
pevek,69.7008,170.3133,-30.51,99.0,97.0,4.36,RU,1616788271.0
rudbar,30.15,62.6,83.01,15.0,0.0,8.14,AF,1616788273.0
ostrovnoy,68.0531,39.5131,19.2,83.0,100.0,11.86,RU,1616788278.0
hilo,19.7297,-155.09,80.6,54.0,1.0,4.61,US,1616788022.0
carnarvon,-24.8667,113.6333,75.2,73.0,100.0,13.8,AU,1616788252.0
garowe,8.4054,48.4845,72.84,64.0,50.0,14.83,SO,1616788283.0
ambon,-3.6954,128.1814,81.45,79.0,100.0,4.79,ID,1616788285.0
eyl,7.9803,49.8164,78.66,72.0,67.0,12.53,SO,1616788287.0
arlit,18.7369,7.3853,72.07,11.0,0.0,20.02,NE,1616788290.0
talnakh,69.4865,88.3972,15.15,92.0,100.0,9.71,RU,1616788295.0
iqaluit,63.7506,-68.5145,-11.0,58.0,1.0,17.27,CA,1616788297.0
peniche,39.3558,-9.3811,55.0,80.0,72.0,3.0,PT,1616788298.0
anandnagar,27.1,83.2833,69.64,16.0,0.0,5.12,IN,1616788300.0
saint-philippe,-21.3585,55.7679,78.8,83.0,0.0,3.44,RE,1616788304.0
hami,42.8,93.45,55.67,28.0,42.0,4.56,CN,1616788305.0
saldanha,-33.0117,17.9442,66.2,72.0,0.0,3.44,ZA,1616788215.0
igrim,63.1906,64.4162,22.82,96.0,63.0,5.08,RU,1616788309.0
taoudenni,22.6783,-3.9836,77.4,7.0,4.0,11.65,ML,1616788142.0
shar,49.5886,81.0453,14.05,96.0,100.0,3.78,KZ,1616788312.0
namatanai,-3.6667,152.4333,78.91,81.0,100.0,6.46,PG,1616788314.0
ninotsminda,41.2646,43.5916,30.2,93.0,75.0,1.14,GE,1616788316.0
bandarbeyla,9.4942,50.8122,78.85,72.0,82.0,14.65,SO,1616788319.0
mumford,5.2618,-0.759,80.94,83.0,5.0,9.69,GH,1616788321.0
springville,40.1652,-111.6107,44.6,61.0,75.0,17.27,US,1616788323.0
roald,62.5833,6.1333,48.2,66.0,40.0,9.22,NO,1616788324.0
camargo,27.6667,-105.1667,81.57,3.0,0.0,15.95,MX,1616788326.0
batagay,67.6333,134.6333,-0.69,96.0,100.0,4.43,RU,1616788328.0
luderitz,-26.6481,15.1594,63.55,79.0,0.0,9.01,NA,1616788330.0
oussouye,12.485,-16.5469,89.6,73.0,0.0,4.61,SN,1616788331.0
talaya,61.3833,152.75,-29.38,99.0,60.0,2.17,RU,1616788333.0
oranjestad,12.524,-70.027,84.2,61.0,20.0,26.46,AW,1616788335.0
hamilton,39.1834,-84.5333,57.99,67.0,90.0,9.22,US,1616788337.0
mantua,45.1667,10.7833,57.0,64.0,99.0,1.01,IT,1616788339.0
